Features,gender_p-value,gender_beta,gender_q-value,age_p-value,age_beta,age_q-value,r2,f-test_pval,f-test_q-value
551.91_438.1508m/z,0.8210429052361194,-1878.7185259307064,1.0,0.4357859230418064,6473.293652242056,1.0,0.0011049049812746903,0.7281246333869289,1.0
411.6_438.1532m/z,0.4070645491113173,-1315.4173622421015,1.0,0.15923248071205034,2234.3520623443023,1.0,0.00433892141859793,0.2870841638011546,1.0
359.6_438.1749m/z,0.2974450527119962,-9551.753912723343,1.0,0.24477447046603384,10662.615683526046,1.0,0.003923118229251843,0.3236316433676908,1.0
136.68_438.1858m/z,3.0342817485851953e-06,5023.474531819905,0.0004457856727083211,0.3907934381832353,914.8385512262399,1.0,0.039791535789068244,8.687745574500902e-06,0.0012260551775540155
260.07_438.2332m/z,1.2690186287346137e-06,5157.649911421235,0.00021395189806374643,0.12158676161115638,1632.844022776456,1.0,0.04619397260204783,1.273614373019039e-06,0.0002523633266053718
536.73_438.2688m/z,0.10571468676160202,6465.296201657696,1.0,0.9076415405713856,463.05125565370264,1.0,0.004659763937372108,0.26172057908720825,1.0
46.23_438.9801m/z,0.13703829199722978,-866.4696970384406,1.0,0.3967306628124275,493.45748827311894,1.0,0.004766731598736085,0.25377101462501855,1.0
200.88_439.0582m/z,0.09921809627844567,322.23115714409994,1.0,0.21249497095012287,243.51643209044394,1.0,0.008036993767111422,0.09867375146483758,1.0
174.07_439.084m/z,0.2228337197185376,1146.6924761563748,1.0,0.0053002175176457035,-2629.579072332341,1.0,0.015143374589628666,0.012532973517611512,0.4178794127790101
288.02_439.0988m/z,0.8058674428959746,-12908.904105199385,1.0,0.5024160308105798,35229.93261583203,1.0,0.000848129809371212,0.7838665133519429,1.0
394.12_439.1204m/z,0.04855963136444907,6027.002715308727,1.0,0.1689673074944047,4198.8151341139765,1.0,0.010836459139567878,0.04384750116875093,1.0
184.12_439.1202m/z,0.20053003900024893,7603.3971495317655,1.0,0.26661742241052094,-6596.497739984014,1.0,0.004620781878251656,0.26467891511821345,1.0
470.94_439.1245m/z,0.2802404713397152,433.20071514755045,1.0,0.10683774428302452,-647.2649066420623,1.0,0.006088257804794717,0.17331045136872025,1.0
271.8_439.1293m/z,0.29285310342568177,-1280.4317657707277,1.0,0.4868686711905832,846.0171706849123,1.0,0.0025773852187024326,0.47679699908185225,1.0
551.93_439.1457m/z,0.834558157774292,-2456.6217012181546,1.0,0.4281680833316128,9320.493924476608,1.0,0.0011305903224854141,0.7227708953760226,1.0
379.78_439.164m/z,0.7899807388847311,-9498.59067113451,1.0,0.5433092707581119,21676.85056979734,1.0,0.000726455258385883,0.8117454881856895,1.0
443.57_439.164m/z,0.8228715530814247,-6326.705423889243,1.0,0.9400788598855884,2124.1841971390145,1.0,9.306809710685204e-05,0.9736418174194655,1.0
110.47_439.1784m/z,0.2908373910004181,410.50425402370695,1.0,0.21450074627578328,482.41976818970005,1.0,0.005017879853828289,0.23603932552279838,1.0
266.96_439.1833m/z,0.07385370154539957,10385.578027618998,1.0,0.2120669388073925,7244.15426846982,1.0,0.00891908284907561,0.07643912990783225,1.0
235.86_439.2061m/z,0.02015543413360322,-15220.648708572378,0.6019472053624133,0.2997958201341474,6778.67008615989,1.0,0.01060600491416408,0.046879237741502,1.0
260.07_439.2359m/z,2.120429155295621e-06,1194.3893832602232,0.00033147792268239994,0.1391729506691647,369.17791371547156,1.0,0.04408369782574695,2.401608156384623e-06,0.00041938666047929777
248.73_439.2365m/z,0.0068994016555227276,5078.024499361555,0.2516872418287933,0.7470318412762379,604.2858615355699,1.0,0.013150569573612714,0.022387562220263488,0.6560250234700871
288.02_440.1017m/z,0.8210416665677267,4056.3288488310877,1.0,0.14284553057607008,26295.652299687186,1.0,0.003944614089305021,0.3216333682471761,1.0
127.96_440.1131m/z,0.4411730105908316,532.9126700164044,1.0,0.6224777297389859,-340.5511538498177,1.0,0.0013572705479582003,0.6771914596861153,1.0
184.1_440.1236m/z,0.21353499077584162,1446.909251850272,1.0,0.2632013022625895,-1301.0991261697393,1.0,0.004501245576474244,0.27395984929258554,1.0
394.1_440.1236m/z,0.04519077899459307,1230.480339878622,1.0,0.1685722326868208,844.9484992498753,1.0,0.011064177150835519,0.04104377087345246,1.0
379.78_440.1668m/z,0.4872037446128292,-10396.215724369256,1.0,0.2838008202595647,16040.722019891447,1.0,0.0026463829203361433,0.4674239326688405,1.0
443.55_440.167m/z,0.5156178175968169,-6898.830594022562,1.0,0.5038146724962522,7092.973634991411,1.0,0.0014008063071021537,0.6687712153110994,1.0
346.49_440.1905m/z,0.7885442496542093,4419.184622245497,1.0,0.17980075184092,22115.340179960407,1.0,0.0033807596680844876,0.37835518974434035,1.0
219.23_440.2088m/z,0.5761549119652744,-2303.753882363803,1.0,0.627106013678769,-2001.7076903695533,1.0,0.001039456833136998,0.7419456650767347,1.0
256.6_440.2266m/z,0.2999470184122724,9980.960503493454,1.0,0.9602288681463687,479.8722255926765,1.0,0.0019031920908174627,0.5788357226806935,1.0
230.3_440.2489m/z,3.410398110319414e-08,1855.2301450261662,9.225759961156493e-06,0.5542992155645683,196.14816570784592,1.0,0.05344878480661586,1.4235138156318615e-07,3.69274164250421e-05
404.56_440.2782m/z,0.19557691559827287,2249.5802662301217,1.0,0.19997644662968406,-2227.2616995646727,1.0,0.005329129736855287,0.21576830321931523,1.0
110.34_440.9957m/z,0.7570922127869741,78.52914787331903,1.0,0.2924431731469755,267.37107062321496,1.0,0.0022033967309873503,0.5309578851486566,1.0
296.11_441.0778m/z,0.49841010150022746,-5698.1909874367175,1.0,0.1800707791731087,11288.136090552818,1.0,0.003691087507685542,0.34600501799395283,1.0
288.02_441.0973m/z,0.8562365878898636,1723.7120351242909,1.0,0.13389379927898262,14273.208201673837,1.0,0.004070016316404468,0.3102185485378075,1.0
195.67_441.1495m/z,0.00019526874672582477,12737.625701318586,0.013962088444855875,0.737783740338563,-1137.7686779006874,1.0,0.023906518732723092,0.0009639074950841888,0.056630023834140994
206.53_441.1487m/z,0.0012594384456118242,10689.42117883161,0.06413394356092914,0.7625036343638063,-996.977554489715,1.0,0.017975137341273872,0.005484697790223159,0.22265924116578895
53.43_441.1537m/z,0.07428389683329306,959.0518104371907,1.0,0.4383015305671021,-415.9329868416663,1.0,0.006227853538332662,0.16646287013664668,1.0
470.17_441.1511m/z,0.05068724194448926,484.85383170352816,1.0,0.3016040335062092,-255.96252116365383,1.0,0.007958567009488604,0.10093824731615447,1.0
379.78_441.1615m/z,0.8292258787974568,-3334.8101205138023,1.0,0.3912935215312864,13256.208183076793,1.0,0.00131794547674291,0.684888089050022,1.0
